Model,Month,Precision,Recall,F1
Multi Layer Perceptron,2023-11,1.0,0.6756756756756757,0.8064516129032258
Multi Layer Perceptron,2023-12,1.0,0.7,0.8235294117647058
Multi Layer Perceptron,2024-01,1.0,0.8333333333333334,0.9090909090909091
Multi Layer Perceptron,2024-02,0.88,0.4230769230769231,0.5714285714285714
Multi Layer Perceptron,2024-03,0.9558823529411765,0.975,0.9653465346534653
Multi Layer Perceptron,2024-04,0.9736842105263158,0.925,0.9487179487179487
Multi Layer Perceptron,2024-05,0.9615384615384616,0.9375,0.9493670886075949
Multi Layer Perceptron,2024-06,0.9792746113989638,0.945,0.9618320610687023
Multi Layer Perceptron,2024-07,0.9523809523809523,0.7407407407407407,0.8333333333333334
Multi Layer Perceptron,2024-08,0.971830985915493,0.9857142857142858,0.9787234042553191
Multi Layer Perceptron,2024-09,0.96875,0.8157894736842105,0.8857142857142857
Multi Layer Perceptron,2024-10,1.0,0.8974358974358975,0.9459459459459459
Multi Layer Perceptron,2024-11,0.9285714285714286,0.9285714285714286,0.9285714285714286
Multi Layer Perceptron,2024-12,1.0,0.25,0.4
